date,B00009RF1E,B000BBGS36,B000BCZ8JU,B001FDKGIW,B001GQ3GEY,B002FS4VJQ,B0084AWBRS,B079945DR1,average
2020-03-31,0.8710239651416118,1.30625,1.0370448772226926,1.1582564303946594,1.1429796968830426,1.0704761904761906,1.0,0.970274302765982,1.0695381828605224
2020-04-01,0.8710239651416118,1.30625,0.9383996613039796,1.1582564303946594,1.1429796968830426,1.0704761904761906,1.0,0.970274302765982,1.0572075308706832
2020-04-02,0.8710239651416118,1.30625,1.0141828958509735,1.1582564303946594,1.1429796968830426,1.0704761904761906,1.0,0.970274302765982,1.0666804351890575
2020-04-03,0.8710239651416118,1.30625,0.9321549534292971,1.1582564303946594,1.1429796968830426,1.0704761904761906,1.0,0.970274302765982,1.056426942386348
2020-04-04,0.8710239651416118,1.30625,0.9321549534292971,1.1582564303946594,1.1429796968830426,1.0704761904761906,1.0,0.970274302765982,1.056426942386348
2020-04-05,0.8710239651416118,1.30625,0.9345893310753598,1.1582564303946594,1.1429796968830426,1.115873015873016,1.0,0.9851945368988868,1.0642708720333218
2020-04-06,0.8710239651416118,1.30625,0.9356477561388654,1.1582564303946594,1.0714898484415214,1.115873015873016,1.0,0.9851945368988868,1.05546694411107
2020-04-07,0.8710239651416118,1.30625,0.9352243861134631,1.1582564303946594,1.0714898484415214,1.115873015873016,1.0,0.9851945368988868,1.0554140228578948
2020-04-08,0.8710239651416118,1.30625,1.0,1.1582564303946594,1.1000857878181298,1.115873015873016,1.0,0.9851945368988868,1.0670854670157879
2020-04-09,0.8710239651416118,1.30625,1.0,1.1582564303946594,1.1000857878181298,1.2534391534391536,1.0,0.9851945368988868,1.084281234211555
2020-04-10,0.8710239651416118,1.30625,1.0,1.1582564303946594,1.1000857878181298,1.2534391534391536,1.0,1.0327097440605992,1.0902206351067691
2020-04-11,0.8710239651416118,1.30625,1.0,1.1582564303946594,1.1429796968830426,1.2534391534391536,1.0,1.0327097440605992,1.095582373739883
2020-04-12,0.8710239651416118,1.30625,1.0,1.1582564303946594,1.0,1.2761904761904763,1.0,1.0327097440605992,1.0805538269734183
2020-04-13,0.8710239651416118,1.30625,1.0,1.1582564303946594,1.0,1.2166666666666668,1.0,1.0327097440605992,1.073113350782942
2020-04-14,0.8710239651416118,1.30625,1.0,1.1582564303946594,1.0,1.4317460317460318,1.0,1.0327097440605992,1.0999982714178627
2020-04-15,0.8710239651416118,1.3748749999999998,1.0,1.1582564303946594,1.1429796968830426,1.4126984126984128,1.0,1.0327097440605992,1.1240679061472907
2020-04-16,0.8710239651416118,1.3748749999999998,1.0,1.1582564303946594,1.1429796968830426,1.4126984126984128,1.0101214574898785,1.0327097440605992,1.1253330883335255
2020-04-17,0.8710239651416118,1.39975,1.0,1.1582564303946594,1.0714898484415214,1.4126984126984128,1.0101214574898785,1.0327097440605992,1.1195062322783353
2020-04-18,0.8710239651416118,1.39975,1.0,1.1582564303946594,1.1429796968830426,1.4126984126984128,1.0101214574898785,1.0327097440605992,1.1284424633335255
2020-04-19,0.8710239651416118,1.39975,1.0,1.0,1.1527023162710897,1.4126984126984128,1.0101214574898785,1.0327097440605992,1.109875736957699
2020-04-20,0.8710239651416118,1.39975,1.0,1.0,1.1527023162710897,1.4126984126984128,1.0101214574898785,1.0327097440605992,1.109875736957699
2020-04-21,0.8710239651416118,1.39975,1.0,1.0,1.1715756362596512,1.4126984126984128,1.0101214574898785,1.0327097440605992,1.1122349019562692
2020-04-22,0.8710239651416118,1.3873125,1.0,1.0,1.1715756362596512,1.5544973544973546,1.0101214574898785,1.0327097440605992,1.1284050821811369
2020-04-23,0.8710239651416118,1.3873125,1.0,1.0,1.1715756362596512,1.5544973544973546,1.0101214574898785,1.0327097440605992,1.1284050821811369
2020-04-24,0.8710239651416118,1.3873125,1.0,1.0,1.1528929558669336,1.5544973544973546,1.0101214574898785,1.0327097440605992,1.1260697471320473
2020-04-25,0.8710239651416118,1.39975,1.0,1.0,1.0955104375178726,1.5544973544973546,1.0101214574898785,1.0327097440605992,1.1204516198384147
2020-04-26,0.8710239651416118,1.39975,1.0,1.0,1.1429796968830426,1.5544973544973546,1.0101214574898785,1.0327097440605992,1.1263852772590608
2020-04-27,0.8710239651416118,1.39975,1.0,1.0,1.143360976074731,1.5544973544973546,1.0101214574898785,1.0327097440605992,1.126432937158022
2020-04-28,0.8710239651416118,1.39975,1.0,1.0,1.1431226765799258,1.5544973544973546,1.0101214574898785,1.0327097440605992,1.1264031497211713
2020-04-29,0.8710239651416118,1.39975,1.0,1.0,1.1431226765799258,1.5544973544973546,1.0101214574898785,1.0327097440605992,1.1264031497211713
2020-04-30,0.8710239651416118,1.39975,1.0,1.0,1.0954151177199505,1.5544973544973546,1.0101214574898785,1.0327097440605992,1.1204397048636743
2020-05-01,0.8710239651416118,1.39975,1.0,1.0,1.0954151177199505,1.5544973544973546,1.0101214574898785,1.0327097440605992,1.1204397048636743
2020-05-02,0.8710239651416118,1.39975,1.0,1.0,1.1431226765799258,1.5544973544973546,1.0101214574898785,1.0327097440605992,1.1264031497211713
2020-05-03,0.8710239651416118,1.39975,1.0,1.0,1.1431226765799258,1.5544973544973546,1.0101214574898785,1.0327097440605992,1.1264031497211713
2020-05-04,0.8710239651416118,1.39975,1.0,1.0,1.1431226765799258,1.46984126984127,1.0101214574898785,1.0327097440605992,1.1158211391391606
2020-05-05,0.8710239651416118,1.39975,1.0,1.0,1.1431226765799258,1.4708994708994712,1.0101214574898785,1.0327097440605992,1.1159534142714358
2020-05-06,1.0675381263616555,1.39975,1.0,1.0,1.1431226765799258,1.3037037037037038,1.0101214574898785,1.0327097440605992,1.1196182135244703
2020-05-07,1.0675381263616555,1.39975,1.0897544453852666,1.0,1.1229625393194167,1.5179894179894182,1.0101214574898785,1.0327097440605992,1.1551032163257793
2020-05-08,1.0675381263616555,1.39975,1.0764182895850973,1.0,1.0219235535220668,1.5179894179894182,1.0101214574898785,1.0327097440605992,1.1408063236260892
2020-05-09,0.8710239651416118,1.0783749999999999,0.9318374259102455,1.0,1.0219235535220668,1.3142857142857143,1.0101214574898785,0.9682084241937335,1.0244719425679063
2020-05-10,0.8710239651416118,1.0783749999999999,0.9318374259102455,1.0,1.0219235535220668,1.3142857142857143,1.0101214574898785,0.9682084241937335,1.0244719425679063
