date,N95 Mask,hand sanitizer,disinfectant spray,disinfectant wipes,olive oil,canned soup,rice,instant noodles,bottled water,hair color,hair clipper,shampoo,trash bag,toilet paper,dumbbell,yoga mat,nintendo switch,pet supply,printer ink
2020-04-16,0.6,0.6,0.5,0.4,0.0,,0.2,0.5555555555555556,0.7,0.1,0.3,0.0,0.7,0.2,0.6,0.9,0.1,0.6,0.3
2020-04-17,0.6,0.6,0.6,0.3,0.2,,0.3,0.5555555555555556,0.6,0.1,0.4,0.0,0.7,0.2,0.6,0.9,0.1,0.7,0.3
2020-04-18,0.6,0.6,0.6,0.3,0.0,,0.2,0.5555555555555556,0.6,0.1,0.4,0.0,0.7,0.1,0.7,0.8,0.1,0.7,0.3
2020-04-19,0.6,0.7,0.6,0.3,0.1,,0.2,0.5555555555555556,0.6,0.1,0.4,0.0,0.7,0.2,0.6,0.8,0.1,0.6,0.3
2020-04-20,0.5,0.7,0.5,0.4,0.0,,0.2,0.5555555555555556,0.7,0.1,0.4,0.0,0.7,0.2,0.7,0.7,0.1,0.6,0.3
2020-04-21,0.5,0.6,0.4,0.4,0.0,,0.3,0.5555555555555556,0.7,0.1,0.5,0.0,0.7,0.3,0.7,0.6,0.1,0.7,0.3
2020-04-22,0.5,0.6,0.4,0.4,0.1,,0.1,0.5555555555555556,0.7,0.1,0.3,0.0,0.7,0.2,0.7,0.5,0.2,0.6,0.4
2020-04-23,0.5,0.7,0.5,0.4,0.1,,0.2,0.6,0.6,0.1,0.3,0.0,0.7,0.2,0.8,0.5,0.1,0.7,0.3
2020-04-24,0.5,0.7,0.5,0.5,0.0,,0.1,0.6,0.6,0.1,0.2,0.0,0.7,0.2,0.6,0.5,0.1,0.6,0.3
2020-04-25,0.5,0.6,0.5,0.4,0.0,,0.1,0.6,0.6,0.1,0.2,0.0,0.7,0.1,0.6,0.5,0.2,0.6,0.3
2020-04-26,0.5,0.6,0.5,0.4,0.0,,0.1,0.6,0.6,0.1,0.3,0.0,0.7,0.1,0.6,0.4,0.1,0.6,0.3
2020-04-27,0.5,0.6,0.6,0.4,0.1,,0.1,0.6,0.6,0.1,0.3,0.0,0.7,0.1,0.4,0.5,0.1,0.6,0.3
2020-04-28,0.5,0.6,0.5,0.4,0.2,,0.1,0.6,0.6,0.1,0.3,0.0,0.7,0.1,0.4,0.6,0.1,0.6,0.3
2020-04-29,0.5,0.6,0.5,0.4,0.2,,0.1,0.6,0.6,0.1,0.2,0.0,0.7,0.1,0.3,0.5,0.1,0.6,0.3
2020-04-30,0.5,0.6,0.5,0.4,0.1,,0.1,0.6,0.6,0.2,0.2,0.0,0.7,0.2,0.5,0.5,0.1,0.6,0.3
2020-05-01,0.5,0.6,0.5,0.4,0.2,,0.1,0.6,0.6,0.2,0.2,0.0,0.7,0.1,0.4,0.5,0.1,0.6,0.3
2020-05-02,0.7,0.7,0.5,0.4,0.1,,0.2,0.6,0.6,0.2,0.2,0.0,0.7,0.2,0.5,0.5,0.1,0.6,0.3
2020-05-03,0.7,0.7,0.5,0.4,0.1,,0.1,0.6,0.6,0.2,0.2,0.0,0.7,0.1,0.5,0.5,0.1,0.6,0.3
2020-05-04,0.7,0.6,0.5,0.4,0.1,,0.1,0.6,0.6,0.2,0.3,0.1,0.7,0.2,0.5,0.5,0.1,0.6,0.3
2020-05-05,0.7,0.6,0.4,0.5,0.1,,0.2,0.6,0.6,0.1,0.2,0.0,0.7,0.1,0.3,0.5,0.1,0.6,0.3
2020-05-06,0.6,0.6,0.3,0.5,0.1,,0.1,0.6,0.6,0.1,0.3,0.0,0.7,0.1,0.3,0.3,0.1,0.6,0.3
2020-05-07,0.6,0.6,0.3,0.5,0.1,,0.1,0.6,0.6,0.1,0.3,0.0,0.7,0.1,0.3,0.3,0.1,0.6,0.3
2020-05-08,0.6,0.6,0.3,0.5,0.1,,0.2,0.6,0.6,0.1,0.2,0.0,0.7,0.2,0.2,0.3,0.1,0.6,0.3
2020-05-09,0.6,0.6,0.3,0.5,0.1,,0.1,0.7,0.6,0.1,0.2,0.0,0.7,0.1,0.3,0.3,0.1,0.6,0.3
2020-05-10,0.6,0.6,0.3,0.5,0.1,,0.1,0.7,0.6,0.1,0.2,0.0,0.7,0.1,0.3,0.3,0.1,0.6,0.3
2020-05-11,0.7,0.7,0.3,0.5,0.2,,0.1,0.7,0.6,0.1,0.2,0.0,0.7,0.0,0.2,0.3,0.1,0.6,0.3
2020-05-12,0.6,0.7,0.4,0.5,0.1,,0.1,0.7,0.6,0.1,0.2,0.0,0.7,0.1,0.2,0.3,0.1,0.6,0.3
2020-05-13,0.7,0.6,0.6,0.6,0.0,,0.1,0.6,0.6,0.1,0.3,0.0,0.7,0.0,0.2,0.3,0.1,0.6,0.3
2020-05-14,0.7,0.6,0.5,0.5,0.1,,0.1,0.6,0.6,0.1,0.2,0.0,0.7,0.0,0.2,0.3,0.2,0.6,0.3
2020-05-15,0.7,0.7,0.4,0.5,0.1,,0.1,0.7,0.6,0.1,0.3,0.0,0.7,0.0,0.2,0.3,0.2,0.6,0.4
