date,bottledwater,cannedsoup,disinfectantspray,disinfectantwipes,dumbell,hairclipper,haircolor,handsanitizer,instantnoodles,N95mask,nintendoswitch,oliveoil,petsupply,printerink,rice,shampoo,toiletpaper,trashbag,yogamat
3/26/2020,0.888532923,1.000156989,1.143059222,1.09381611,1.120151628,1.075174296,1.02040531,1.175442639,1.012993934,1.012711585,0.983390752,1.06809563,0.995151534,1.01066332,1.005069871,1.154552712,1.046561625,1.027065267,0.999663668
3/27/2020,0.888532923,1.000156989,1.142385065,1.09381611,1.120151628,1.075306599,1.103893985,1.058426966,0.983246101,1.012711585,0.987642139,1.214222407,0.995151534,0.989995214,1.001461761,1.177626413,1.046244165,1.002218837,0.999663668
3/28/2020,0.888532923,1.000156989,1.142385065,1.09381611,1.120151628,1.073613119,1.113955863,1.058426966,0.983246101,1.012711585,1.021498008,1.180821776,0.995151534,0.989995214,1.005063202,1.15647901,1.046244165,1.001897618,0.999663668
3/29/2020,0.888532923,1.000156989,1.143059222,1.09381611,1.120151628,1.057260452,1.113955863,1.058426966,0.983246101,1.012711585,1.014277904,1.182748873,0.956008878,1.022311455,0.997049997,1.158405308,1.050917062,0.991250706,0.999663668
3/30/2020,0.849927334,1.215577071,1.143059222,1.09381611,1.120151628,1.063346396,1.126426852,1.058426966,0.983246101,1.012711585,1.026903615,1.182748873,0.956008878,1.019924714,0.994689052,1.158405308,1.050917062,0.991125412,0.999663668
3/31/2020,0.849927334,1.167042904,1.143059222,1.09381611,1.120151628,1.069538183,1.126426852,1.058426966,0.983246101,1.012711585,1.04450478,1.141560081,0.941109259,1.019924714,1.027596724,1.158405308,1.045465232,0.995979756,0.999663668
4/1/2020,0.929462531,1.167042904,1.143059222,0.992643365,1.120151628,1.057207531,1.134565091,1.058426966,0.983246101,0.881652661,1.04450478,1.134498814,0.941109259,1.040773336,1.049017294,1.158405308,1.045054478,0.995355539,0.999663668
4/2/2020,0.935896796,1.167042904,1.142385065,0.995323109,1.120151628,1.066680435,1.127508221,1.058426966,0.983246101,0.881652661,1.053479139,1.134221902,0.941109259,1.040773336,0.999673997,1.132138891,1.042549085,0.995551464,0.999663668
4/3/2020,0.935896796,1.167042904,1.142385065,1.00633647,1.120151628,1.056426942,1.124503213,1.058426966,0.983246101,0.881652661,1.048685285,1.154851877,0.941109259,1.040773336,0.98909443,1.130212593,1.047522493,0.985809571,0.999663668
4/4/2020,0.935896796,1.167042904,1.139164091,1.001419768,1.120151628,1.056426942,1.124503213,1.058426966,0.983246101,0.881499521,1.055596126,1.154851877,0.941109259,1.037439114,0.999291198,1.130212593,1.047522493,0.991075705,0.999663668
4/5/2020,0.935896796,1.167042904,1.139164091,1.001419768,1.120151628,1.064270872,1.124503213,1.058426966,0.983246101,0.881499521,1.009958937,1.152300327,0.941109259,1.065250884,0.983165392,1.254217703,1.047522493,1.022790909,0.999663668
4/6/2020,0.935896796,1.006438396,1.124749676,1.001689689,1.120151628,1.055466944,1.124503213,1.058426966,0.983246101,0.888400995,1.009311689,1.009189404,0.941044631,1.006874741,0.983165392,1.124601203,1.047522493,0.988920533,0.999663668
4/7/2020,0.935896796,1.064327741,1.124749676,1.001689689,1.120151628,1.055414023,1.128009056,1.058426966,0.983246101,0.888400995,1.009311689,1.027050256,0.941044631,0.951832821,0.983165392,1.116897043,1.042145345,0.989706333,0.999747751
4/8/2020,0.935896796,1.006438396,1.13348715,1.001182679,1.120151628,1.067085467,1.119870817,1.058426966,0.983246101,0.891108925,1.032009856,1.027050256,0.954600186,0.951832821,0.982826409,1.117064547,1.048706926,0.986892321,0.999747751
4/9/2020,0.935896796,1.006438396,1.133037712,1.001182679,1.120151628,1.084281234,1.127713522,1.058426966,0.983246101,0.891108925,1.023837251,1.027050256,0.983229851,0.951832821,0.982826409,1.098150841,1.047522493,0.985824757,0.999747751
4/10/2020,0.935896796,1.006438396,1.129058401,1.001182679,1.120151628,1.090220635,1.124178094,1.058426966,0.983246101,0.891108925,1.042860078,1.027050256,0.983229851,0.951832821,0.992070107,1.11623646,1.047522493,0.979140213,0.999747751
4/11/2020,0.935896796,1.006438396,1.132728307,0.99888676,1.120151628,1.095582374,1.104948127,1.058426966,0.983246101,0.891108925,1.042860078,1.027050256,0.983229851,0.951832821,0.979785057,1.121931602,1.047363762,0.978010935,0.999747751
4/12/2020,0.935896796,1.006438396,1.11736011,0.945658244,1.120151628,1.080553827,1.098827564,1.058426966,0.983246101,0.891108925,1.018611776,1.027050256,0.983229851,0.951832821,0.979954548,1.119430039,1.047363762,0.994770571,0.999831834
4/13/2020,0.935896796,1.006438396,1.113051355,0.947728994,1.120151628,1.073113351,1.110847597,1.058426966,0.983246101,0.891108925,1.018611776,1.005035718,0.983229851,0.948498599,0.979954548,1.109948925,1.047363762,1.006607966,0.999915917
